Email,"Customer Name","Company Name",Address,Postcode,City,"Invoice Number","Customer Number","VAT ID","Invoice Date","Due Date","Item Description",Quantity,Price,"Total Amount",IBAN,SWIFT,"Bank Name","Payment Terms"
info@raum-projekt.de,"No data fulfill your filter criteria","Raum & Projekt Sicherheitstechnik GMBH","Projekt 2025",53229,Bonn,28087,27076,DE230790395,23-04-2025,07-05-2025,raum-projekt.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@raum-projekt.de,"Mr Ludger Matthias Foecking","Konzept 01 GMBH","Projekt 2025",51789,Lindlar,28088,27077,DE230790395,23-04-2025,07-05-2025,raum-projekt.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@in-el.de,"Mr Juergen Vogl","I.e. Gesellschaft Fuer Industrieelektronik Mbh","Oberringstraße 26",85051,Ingolstadt,28089,27078,DE812211071,23-04-2025,07-05-2025,in-el.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@autovision-werkstatt.de,"Mr Christopher Haake","Vision Automobile GMBH","Provinzstr. 24",13409,Berlin,28090,27079,DE308085147,23-04-2025,07-05-2025,vision-automobile.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@hoffmanngmbh.com,"Ms Christina Hoffmann","Lorenz Hoffmann GMBH","Am Grund 4",74594,Kressberg,28091,27080,DE811462204,23-04-2025,07-05-2025,hoffmanngmbh.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
firma@gostau.de,"Mr Ralf Gostau","Manfred Gostau, Malermeister E.k. Inh. Ralf Gostau","Im Jahre 1958",51467,"Bergisch Gladbach",28092,27081,DE225321598,23-04-2025,07-05-2025,gostau.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@torc-tech.com,"Torc Tech Verschraubungstechnologie GmbH","Hst Hydraulik System Technik GMBH & Co. KG","ı Cad. 178",85293,Reichertshausen,28093,27082,DE218203458,23-04-2025,07-05-2025,torc-tech.com,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@stier-wpg.de,"Dipl.-Kfm. Volkmar Stier","Stier GMBH Wirtschaftspruefungsgesellschaft","Virchowstr. 21",26382,Wilhelmshaven,28094,27083,DE256953365,23-04-2025,07-05-2025,stier-wpg.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
info@mandrops-germany.de,"Mr Reiner Dehler","Mandrops AG","Kostenlose Lieferung Bei Bestellungen über 50",96106,Ebern,28095,27084,DE814078474,23-04-2025,07-05-2025,mandrops.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
shop@luxentu.de,"Mr Daniel Mueller","Logentu GMBH","- 16",95666,Mitterteich,28096,27085,DE310282980,23-04-2025,07-05-2025,luxentu.de,1,"€ 879.65","€ 879.65",NL29REVO0083262636,REVONL22,Revolute,"Fällig in 14 Tagen"	
